date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-01 22:09:09,andrewhuang,,2,2,128,"If you've never seen @itsPusher live, it's probably like this",,@itsPusher,,1300918645502234627,https://twitter.com/andrewhuang/status/1300918645502234627
2020-09-01 20:43:26,andrewhuang,aTiredFox,1,0,2,"that's great! my butt sounds different",,,,1300897071831097344,https://twitter.com/andrewhuang/status/1300897071831097344
2020-09-01 19:14:28,andrewhuang,,19,73,643,"i miss concerts",,,,1300874686058954752,https://twitter.com/andrewhuang/status/1300874686058954752
2020-08-31 22:30:22,andrewhuang,,66,104,2093,"people who comment on music tutorials “there are no rules in art” - um ok? we still want to learn how to do a thing lol",,,,1300561595593093122,https://twitter.com/andrewhuang/status/1300561595593093122
2020-08-31 21:38:07,andrewhuang,HebbalePrajwal,1,1,5,"Nice falsetto!",,,,1300548446152282114,https://twitter.com/andrewhuang/status/1300548446152282114
2020-08-31 21:37:18,andrewhuang,james_t_webber,1,0,1,"i’m really hoping they built in a limit...’cause it would be fun to modulate fuzz at audio rate ",,,,1300548243110146049,https://twitter.com/andrewhuang/status/1300548243110146049
2020-08-31 21:36:07,andrewhuang,alexchimi_,1,0,2,"a lot of guitar pedals go right to left for some reason ",,,,1300547942886014987,https://twitter.com/andrewhuang/status/1300547942886014987
2020-08-31 21:34:59,andrewhuang,MUSTDIEmusic,0,0,8,"literally just feels nice to be around it lol. but also sounds wonderful",,,,1300547660370317313,https://twitter.com/andrewhuang/status/1300547660370317313
2020-08-31 19:37:27,andrewhuang,,0,0,22,"@bensonamps @chaseblissaudio",,@bensonamps @chaseblissaudio,,1300518079265476616,https://twitter.com/andrewhuang/status/1300518079265476616
2020-08-31 19:37:26,andrewhuang,,37,36,842,"i'm in love #preampmkii",,,#preampmkii,1300518076941828099,https://twitter.com/andrewhuang/status/1300518076941828099
2020-08-30 23:01:23,andrewhuang,veeislame,4,2,5,"XO by @xlnaudio",,@xlnaudio,,1300207014220566528,https://twitter.com/andrewhuang/status/1300207014220566528
